                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.291,                  1.468,                 1.5691,                0.64149,                0.47266,                0.51583,                0.25688,                 1.9702,                  1.518,                  1.459,               0.070015,              0.0033317,              0.0033317
                      1,                 1.8712,                 1.2113,                 1.3702,                0.72417,                0.60077,                0.65949,                0.35371,                 1.7028,                 1.1143,                 1.3243,               0.039949,              0.0065991,              0.0065991
                      2,                 1.7841,                 1.1221,                 1.3304,                0.74527,                0.62697,                0.69704,                0.37839,                 1.6571,                 1.0601,                 1.2911,              0.0098166,              0.0098004,              0.0098004
                      3,                 1.7471,                 1.0774,                 1.3138,                0.76859,                0.64271,                0.71478,                0.39259,                 1.6357,                0.99796,                 1.3091,               0.009703,               0.009703,               0.009703
                      4,                 1.6852,                 1.0326,                 1.2922,                 0.7873,                0.66065,                0.73049,                0.40915,                 1.6023,                0.95366,                 1.2812,               0.009703,               0.009703,               0.009703
                      5,                 1.6702,                  1.003,                 1.2842,                0.78721,                0.66243,                0.73681,                0.41133,                 1.6069,                0.93875,                 1.3043,               0.009604,               0.009604,               0.009604
                      6,                 1.6521,                0.97886,                 1.2727,                0.80712,                0.68273,                0.76253,                0.43187,                 1.5368,                0.89963,                 1.2562,               0.009505,               0.009505,               0.009505
                      7,                 1.6307,                 0.9655,                 1.2668,                0.81109,                0.68517,                0.76447,                0.43436,                 1.5418,                0.89146,                 1.2495,               0.009406,               0.009406,               0.009406
                      8,                  1.626,                0.95112,                   1.26,                 0.8074,                0.68842,                0.76706,                 0.4371,                 1.5448,                0.88246,                 1.2624,               0.009307,               0.009307,               0.009307
                      9,                 1.6125,                0.94657,                 1.2595,                0.81453,                0.70205,                0.77768,                0.44332,                 1.5393,                0.86668,                 1.2487,               0.009208,               0.009208,               0.009208
                     10,                 1.6127,                0.94264,                  1.258,                0.82102,                0.70523,                0.78157,                0.45116,                 1.5112,                0.84997,                  1.242,               0.009109,               0.009109,               0.009109
                     11,                 1.5985,                0.92228,                 1.2488,                0.82039,                0.70051,                 0.7791,                0.44807,                 1.5169,                0.85433,                 1.2448,                0.00901,                0.00901,                0.00901
                     12,                 1.5921,                0.92302,                 1.2498,                0.82004,                0.70747,                0.78588,                 0.4562,                 1.5004,                0.84423,                  1.229,               0.008911,               0.008911,               0.008911
                     13,                 1.5839,                0.90773,                 1.2429,                0.82192,                0.70727,                0.79074,                0.45862,                 1.4985,                 0.8258,                 1.2349,               0.008812,               0.008812,               0.008812
                     14,                 1.5864,                0.91087,                 1.2492,                0.82266,                0.70926,                0.78993,                0.45805,                 1.4912,                0.83595,                 1.2318,               0.008713,               0.008713,               0.008713
                     15,                 1.5714,                0.89664,                 1.2345,                0.81725,                0.71043,                0.79322,                0.45664,                 1.5039,                0.83667,                 1.2314,               0.008614,               0.008614,               0.008614
                     16,                 1.5684,                0.89452,                 1.2351,                0.83219,                0.71966,                0.79945,                0.46695,                 1.4827,                0.81063,                 1.2185,               0.008515,               0.008515,               0.008515
                     17,                 1.5694,                0.89164,                 1.2355,                0.83399,                0.71625,                0.79755,                0.46576,                 1.4803,                0.80045,                 1.2268,               0.008416,               0.008416,               0.008416
                     18,                  1.567,                0.89021,                 1.2362,                0.83601,                0.72602,                0.80542,                0.47442,                 1.4685,                0.79812,                 1.2156,               0.008317,               0.008317,               0.008317
                     19,                 1.5601,                0.87888,                 1.2283,                 0.8395,                 0.7145,                0.79946,                0.46922,                 1.4679,                0.80375,                 1.2229,               0.008218,               0.008218,               0.008218
                     20,                 1.5578,                0.87838,                 1.2301,                 0.8358,                0.72951,                0.80855,                0.47654,                 1.4719,                0.78988,                 1.2128,               0.008119,               0.008119,               0.008119
                     21,                 1.5502,                 0.8729,                 1.2292,                0.83869,                0.73208,                0.81241,                0.47895,                  1.454,                0.77454,                 1.2071,                0.00802,                0.00802,                0.00802
                     22,                 1.5519,                0.87123,                 1.2272,                0.84405,                 0.7269,                0.80816,                0.47734,                  1.458,                0.77424,                  1.214,               0.007921,               0.007921,               0.007921
                     23,                 1.5499,                0.87267,                 1.2224,                0.84047,                0.73255,                0.80918,                0.47761,                 1.4614,                0.77705,                 1.2151,               0.007822,               0.007822,               0.007822
                     24,                 1.5539,                0.87469,                 1.2251,                0.83836,                0.73148,                0.81426,                0.47986,                  1.452,                0.77725,                 1.2046,               0.007723,               0.007723,               0.007723
                     25,                 1.5434,                0.86433,                  1.222,                0.84849,                   0.73,                0.81581,                0.48404,                  1.443,                0.76297,                 1.2052,               0.007624,               0.007624,               0.007624
                     26,                 1.5442,                0.86527,                 1.2251,                0.84683,                0.73861,                0.81825,                0.48574,                 1.4484,                0.76247,                  1.203,               0.007525,               0.007525,               0.007525
                     27,                 1.5447,                0.86421,                 1.2228,                0.84377,                0.73518,                0.81643,                0.48484,                  1.444,                0.76573,                 1.2032,               0.007426,               0.007426,               0.007426
                     28,                  1.543,                0.85679,                 1.2164,                0.84885,                0.73463,                0.81606,                0.48475,                 1.4474,                 0.7586,                 1.2069,               0.007327,               0.007327,               0.007327
                     29,                 1.5343,                0.85304,                 1.2159,                0.84745,                0.74659,                0.82296,                0.49006,                  1.439,                0.75436,                 1.2001,               0.007228,               0.007228,               0.007228
                     30,                 1.5395,                0.86212,                 1.2178,                0.84511,                0.74272,                0.82052,                0.48734,                  1.442,                0.75221,                 1.2029,               0.007129,               0.007129,               0.007129
                     31,                 1.5348,                0.85554,                 1.2161,                0.84967,                0.74467,                0.82378,                0.49025,                  1.433,                0.74852,                 1.1965,                0.00703,                0.00703,                0.00703
                     32,                 1.5427,                0.85295,                 1.2144,                0.84848,                0.74453,                0.82423,                0.49164,                 1.4297,                0.74329,                 1.1977,               0.006931,               0.006931,               0.006931
                     33,                 1.5248,                0.84648,                 1.2126,                0.85415,                0.74227,                0.82422,                0.49164,                 1.4307,                0.74064,                 1.1988,               0.006832,               0.006832,               0.006832
                     34,                 1.5292,                0.83915,                 1.2093,                0.84895,                0.74831,                0.82626,                0.49325,                 1.4299,                0.73831,                 1.1951,               0.006733,               0.006733,               0.006733
                     35,                 1.5182,                0.83907,                 1.2124,                0.85492,                0.74869,                0.82883,                0.49493,                 1.4267,                0.73576,                 1.1937,               0.006634,               0.006634,               0.006634
                     36,                 1.5205,                0.83484,                 1.2086,                0.85302,                0.74781,                  0.827,                0.49499,                 1.4246,                0.73683,                 1.1921,               0.006535,               0.006535,               0.006535
                     37,                  1.515,                0.83118,                 1.2084,                0.85115,                0.74996,                0.82865,                0.49644,                 1.4256,                0.73562,                 1.1913,               0.006436,               0.006436,               0.006436
                     38,                 1.5139,                0.82604,                 1.2049,                0.85127,                0.75249,                0.82961,                0.49565,                 1.4218,                0.73304,                 1.1916,               0.006337,               0.006337,               0.006337
                     39,                  1.517,                0.82613,                 1.2064,                0.85732,                0.75033,                0.82998,                0.49872,                 1.4187,                0.72498,                 1.1886,               0.006238,               0.006238,               0.006238
                     40,                 1.5224,                0.83308,                 1.2136,                0.85765,                0.75253,                0.83192,                0.49964,                 1.4185,                0.72444,                 1.1876,               0.006139,               0.006139,               0.006139
                     41,                 1.5145,                0.82869,                 1.2071,                0.85598,                0.75405,                0.83333,                0.49948,                 1.4168,                0.72001,                 1.1894,                0.00604,                0.00604,                0.00604
                     42,                 1.5099,                0.82769,                 1.2051,                0.85632,                0.75583,                  0.834,                0.49955,                 1.4163,                0.72107,                 1.1878,               0.005941,               0.005941,               0.005941
                     43,                 1.5085,                0.82124,                 1.2005,                0.85935,                0.75572,                0.83413,                0.50179,                 1.4163,                0.71555,                  1.187,               0.005842,               0.005842,               0.005842
                     44,                 1.5068,                0.81444,                 1.2001,                0.85817,                0.76069,                0.83667,                 0.5034,                 1.4112,                0.71308,                 1.1835,               0.005743,               0.005743,               0.005743
                     45,                 1.5039,                  0.812,                 1.1967,                0.85839,                0.75841,                0.83556,                 0.5022,                 1.4112,                0.71208,                 1.1836,               0.005644,               0.005644,               0.005644
                     46,                 1.5097,                0.81866,                 1.2053,                0.86134,                0.75716,                0.83519,                0.50239,                 1.4097,                0.71235,                 1.1827,               0.005545,               0.005545,               0.005545
                     47,                 1.5044,                0.81462,                  1.199,                0.86141,                0.75804,                0.83745,                0.50433,                 1.4086,                0.70886,                 1.1833,               0.005446,               0.005446,               0.005446
                     48,                 1.4978,                0.81264,                 1.1964,                0.86267,                0.75959,                0.83816,                0.50556,                 1.4088,                0.70775,                 1.1831,               0.005347,               0.005347,               0.005347
                     49,                 1.5075,                0.81471,                 1.2015,                0.86343,                0.75863,                0.83795,                0.50498,                 1.4096,                0.70661,                 1.1852,               0.005248,               0.005248,               0.005248
                     50,                 1.5046,                0.81239,                 1.1977,                0.86025,                0.76162,                0.83906,                0.50698,                 1.4041,                0.70499,                 1.1797,               0.005149,               0.005149,               0.005149
                     51,                  1.496,                0.80336,                 1.1979,                 0.8627,                0.76023,                0.83988,                 0.5077,                 1.4056,                0.70152,                 1.1815,                0.00505,                0.00505,                0.00505
                     52,                 1.4898,                0.80149,                 1.1908,                0.85933,                0.76507,                0.84037,                0.50847,                 1.4059,                0.70084,                 1.1795,               0.004951,               0.004951,               0.004951
                     53,                 1.4934,                0.79972,                 1.1921,                0.86076,                0.76656,                0.84119,                0.50849,                 1.4027,                0.69863,                 1.1782,               0.004852,               0.004852,               0.004852
                     54,                 1.4992,                0.80748,                 1.1947,                0.86515,                0.76412,                0.84234,                0.50919,                 1.4024,                0.69856,                 1.1789,               0.004753,               0.004753,               0.004753
                     55,                 1.4842,                0.79471,                 1.1883,                0.86051,                 0.7663,                  0.842,                 0.5106,                 1.4005,                0.69623,                 1.1766,               0.004654,               0.004654,               0.004654
