                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2801,                 1.2501,                 1.3533,                 0.6939,                0.60256,                0.67192,                0.35499,                 1.7921,                 1.0356,                 1.1865,               0.070015,              0.0033317,              0.0033317
                      1,                  1.821,                0.99643,                 1.1718,                0.78369,                0.68769,                 0.7548,                 0.4254,                 1.6202,                0.86776,                 1.1298,               0.039949,              0.0065991,              0.0065991
                      2,                 1.7532,                0.94507,                 1.1449,                 0.7877,                0.68615,                0.76887,                 0.4272,                 1.6198,                0.87075,                 1.1121,              0.0098166,              0.0098004,              0.0098004
                      3,                 1.7025,                0.90717,                 1.1234,                0.80348,                 0.6997,                 0.7837,                0.44257,                 1.6131,                0.85915,                 1.1093,               0.009703,               0.009703,               0.009703
                      4,                  1.671,                0.88584,                 1.1152,                0.81835,                0.69137,                0.77301,                0.45373,                 1.5512,                0.80782,                 1.1088,               0.009703,               0.009703,               0.009703
                      5,                 1.6402,                0.85897,                 1.1061,                 0.8244,                0.72933,                0.80783,                 0.4771,                 1.5134,                 0.7789,                  1.087,               0.009604,               0.009604,               0.009604
                      6,                 1.6339,                0.85438,                  1.103,                0.83584,                0.72835,                0.81362,                0.48318,                 1.4892,                0.76824,                 1.0805,               0.009505,               0.009505,               0.009505
                      7,                 1.6095,                0.83623,                 1.0966,                0.83673,                0.73358,                0.81112,                0.48355,                 1.4906,                0.75152,                  1.082,               0.009406,               0.009406,               0.009406
                      8,                    1.6,                0.82698,                  1.092,                0.82496,                0.73673,                 0.8148,                 0.4863,                 1.4706,                0.75528,                 1.0669,               0.009307,               0.009307,               0.009307
                      9,                 1.5978,                0.82412,                 1.0941,                0.84888,                0.74841,                0.82705,                0.49735,                 1.4596,                 0.7312,                 1.0649,               0.009208,               0.009208,               0.009208
                     10,                 1.5916,                0.81574,                  1.092,                0.83375,                0.74156,                0.82144,                0.49576,                 1.4555,                 0.7376,                 1.0613,               0.009109,               0.009109,               0.009109
                     11,                 1.5706,                0.80647,                 1.0843,                0.85415,                0.74987,                0.83129,                0.50229,                  1.451,                0.71855,                 1.0591,                0.00901,                0.00901,                0.00901
                     12,                 1.5687,                0.80146,                 1.0844,                0.85203,                0.75465,                0.83424,                0.50688,                 1.4362,                0.71046,                 1.0562,               0.008911,               0.008911,               0.008911
                     13,                 1.5676,                0.79989,                 1.0864,                0.85138,                0.75865,                0.83365,                0.50369,                 1.4517,                 0.7177,                 1.0645,               0.008812,               0.008812,               0.008812
                     14,                 1.5605,                0.79622,                  1.082,                0.85023,                0.75813,                0.83426,                0.50448,                 1.4396,                0.71186,                 1.0567,               0.008713,               0.008713,               0.008713
                     15,                 1.5631,                0.79165,                 1.0838,                0.85644,                0.75662,                0.83652,                 0.5092,                 1.4359,                0.70099,                 1.0586,               0.008614,               0.008614,               0.008614
                     16,                 1.5535,                0.78752,                 1.0792,                0.85453,                0.76095,                0.84098,                0.51404,                 1.4264,                0.70291,                 1.0516,               0.008515,               0.008515,               0.008515
                     17,                 1.5591,                0.78733,                 1.0807,                0.85994,                0.76483,                0.84572,                 0.5161,                 1.4222,                0.69227,                 1.0483,               0.008416,               0.008416,               0.008416
                     18,                 1.5459,                0.78215,                 1.0772,                0.85591,                0.76127,                0.84125,                0.51335,                 1.4219,                 0.6935,                 1.0517,               0.008317,               0.008317,               0.008317
                     19,                 1.5499,                0.78064,                 1.0794,                0.85937,                0.76579,                0.84407,                0.51304,                 1.4261,                0.69411,                 1.0488,               0.008218,               0.008218,               0.008218
                     20,                 1.5439,                0.77669,                 1.0779,                0.86371,                0.77027,                 0.8503,                 0.5213,                 1.4123,                0.68385,                 1.0453,               0.008119,               0.008119,               0.008119
                     21,                 1.5328,                0.76969,                 1.0744,                0.85561,                0.77056,                 0.8466,                0.51809,                 1.4128,                0.69199,                 1.0442,                0.00802,                0.00802,                0.00802
                     22,                 1.5327,                0.76922,                 1.0713,                0.86519,                0.77469,                0.85205,                0.52195,                 1.4107,                0.67412,                 1.0439,               0.007921,               0.007921,               0.007921
                     23,                 1.5332,                0.76936,                  1.072,                0.85792,                0.77114,                  0.849,                0.51929,                 1.4127,                0.68185,                 1.0432,               0.007822,               0.007822,               0.007822
                     24,                 1.5346,                0.76775,                 1.0725,                 0.8649,                0.77639,                0.85381,                 0.5265,                 1.3999,                0.67042,                 1.0416,               0.007723,               0.007723,               0.007723
                     25,                 1.5293,                0.76658,                  1.074,                 0.8632,                 0.7729,                0.84934,                0.52403,                 1.3998,                0.67154,                 1.0419,               0.007624,               0.007624,               0.007624
                     26,                 1.5267,                0.76199,                 1.0713,                0.86463,                0.77339,                0.85347,                 0.5245,                 1.4049,                 0.6762,                 1.0411,               0.007525,               0.007525,               0.007525
                     27,                  1.522,                0.75518,                 1.0673,                0.86826,                0.77842,                0.85619,                0.52759,                 1.3963,                0.66735,                 1.0389,               0.007426,               0.007426,               0.007426
