                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8433,                 4.1437,                 2.6455,                0.12443,                0.17225,                0.01713,                0.00858,                 2.2423,                    inf,                 3.0357,               0.070147,               0.003317,               0.003317
                      2,                 1.8884,                 3.2259,                 1.9181,                0.31971,                0.19546,                0.08458,                0.04804,                 1.7599,                 3.2676,                 1.9137,               0.040081,              0.0065845,              0.0065845
                      3,                  1.739,                  2.898,                 1.7857,                0.16218,                0.26258,                0.12417,                0.07184,                 1.7113,                 3.8649,                  1.897,              0.0099494,               0.009786,               0.009786
                      4,                 1.6434,                 2.7158,                 1.7154,                0.37867,                0.35045,                0.18082,                0.11284,                  1.545,                 2.7245,                 1.7154,               0.009703,               0.009703,               0.009703
                      5,                 1.5724,                 2.5345,                 1.6511,                0.20534,                0.31922,                0.20466,                0.12244,                 1.5403,                 2.5129,                 1.7414,               0.009703,               0.009703,               0.009703
                      6,                 1.5377,                 2.3893,                 1.6241,                0.25185,                0.35336,                0.22571,                0.14379,                 1.5133,                 2.3672,                 1.6691,               0.009604,               0.009604,               0.009604
                      7,                 1.4907,                 2.3003,                 1.5816,                0.29704,                  0.417,                0.31075,                0.19881,                 1.3877,                 2.2044,                 1.6194,               0.009505,               0.009505,               0.009505
                      8,                 1.4701,                 2.2764,                 1.5784,                0.21521,                0.37429,                 0.2268,                0.14313,                 1.4605,                 2.5118,                 1.6656,               0.009406,               0.009406,               0.009406
                      9,                 1.4302,                 2.1396,                 1.5633,                0.30932,                 0.4023,                0.27153,                0.17672,                 1.4715,                 2.6496,                 1.6659,               0.009307,               0.009307,               0.009307
                     10,                 1.4044,                 2.0671,                 1.5465,                0.36745,                0.54391,                0.41194,                0.26845,                 1.3171,                  1.894,                  1.582,               0.009208,               0.009208,               0.009208
                     11,                 1.3814,                 1.9972,                 1.5459,                0.38687,                0.44815,                0.36903,                0.24129,                 1.3519,                 2.0404,                 1.6096,               0.009109,               0.009109,               0.009109
                     12,                 1.3584,                 1.9036,                 1.5088,                0.38744,                0.47963,                0.42844,                0.27872,                 1.3226,                 1.8799,                 1.6158,                0.00901,                0.00901,                0.00901
                     13,                 1.3576,                 1.8798,                 1.5408,                0.40516,                0.53545,                0.44304,                0.29489,                 1.3006,                 1.7718,                 1.5683,               0.008911,               0.008911,               0.008911
                     14,                 1.3426,                 1.8175,                 1.5245,                0.38918,                0.51058,                0.42693,                0.28588,                 1.3167,                 1.7806,                 1.5602,               0.008812,               0.008812,               0.008812
                     15,                 1.3265,                 1.7705,                 1.5048,                0.42528,                0.51194,                0.45586,                0.30822,                 1.2788,                 1.7124,                 1.5464,               0.008713,               0.008713,               0.008713
                     16,                 1.3214,                 1.7286,                 1.4962,                0.48171,                0.59041,                0.53303,                0.36191,                 1.2489,                 1.6035,                 1.5364,               0.008614,               0.008614,               0.008614
                     17,                 1.3025,                 1.6428,                 1.4895,                0.50227,                0.59204,                0.55464,                0.37468,                 1.2204,                 1.5123,                 1.5216,               0.008515,               0.008515,               0.008515
                     18,                 1.2742,                 1.6222,                 1.4547,                0.50518,                0.60691,                0.55538,                0.37596,                 1.2526,                 1.5377,                 1.5246,               0.008416,               0.008416,               0.008416
                     19,                 1.2879,                 1.5939,                 1.4818,                0.50082,                0.60339,                0.60532,                0.39844,                 1.2562,                 1.4817,                 1.5836,               0.008317,               0.008317,               0.008317
                     20,                 1.2702,                 1.5111,                 1.4578,                0.54016,                 0.5996,                0.59106,                0.40687,                  1.217,                 1.4601,                 1.5067,               0.008218,               0.008218,               0.008218
                     21,                 1.2432,                 1.4992,                 1.4425,                0.56331,                0.63759,                0.64494,                0.45187,                 1.1821,                 1.3384,                 1.5021,               0.008119,               0.008119,               0.008119
                     22,                 1.2619,                 1.4358,                 1.4467,                0.54257,                0.59618,                0.58663,                0.39184,                 1.2549,                 1.4832,                 1.5527,                0.00802,                0.00802,                0.00802
                     23,                 1.2504,                 1.4518,                 1.4624,                0.60535,                0.60907,                0.64603,                0.43912,                 1.2174,                 1.3123,                 1.5519,               0.007921,               0.007921,               0.007921
                     24,                 1.2394,                 1.4117,                 1.4376,                0.68456,                0.65708,                0.71614,                0.49993,                 1.1515,                  1.213,                 1.4847,               0.007822,               0.007822,               0.007822
                     25,                 1.2473,                 1.3728,                 1.4737,                 0.6079,                0.67686,                0.67576,                 0.4639,                 1.1926,                 1.2239,                 1.5193,               0.007723,               0.007723,               0.007723
                     26,                 1.2389,                 1.3303,                 1.4549,                0.61689,                0.67031,                0.70491,                0.49411,                  1.149,                 1.1889,                 1.4799,               0.007624,               0.007624,               0.007624
                     27,                 1.2101,                 1.3371,                 1.4186,                0.67003,                0.67395,                0.71005,                0.49979,                 1.1504,                 1.1961,                 1.4603,               0.007525,               0.007525,               0.007525
                     28,                 1.1891,                 1.3119,                 1.4217,                0.68235,                0.71972,                 0.7336,                0.51227,                  1.152,                 1.1488,                  1.504,               0.007426,               0.007426,               0.007426
                     29,                 1.1951,                  1.282,                 1.4382,                0.70165,                0.69704,                0.74266,                 0.5137,                 1.1719,                 1.1118,                 1.5051,               0.007327,               0.007327,               0.007327
                     30,                 1.2033,                 1.2431,                  1.427,                 0.7443,                0.72599,                0.77417,                0.54346,                 1.1431,                 1.0435,                 1.4771,               0.007228,               0.007228,               0.007228
                     31,                 1.1995,                 1.2247,                 1.4141,                0.71441,                0.68659,                0.74685,                0.52395,                 1.1244,                 1.1638,                 1.4598,               0.007129,               0.007129,               0.007129
                     32,                 1.1742,                 1.1951,                 1.4122,                0.75043,                0.73917,                0.79935,                0.56066,                 1.1144,                  1.027,                 1.4654,                0.00703,                0.00703,                0.00703
                     33,                 1.1772,                 1.2044,                 1.4216,                0.77105,                0.70572,                0.79106,                0.56209,                 1.1124,                 1.0435,                 1.4695,               0.006931,               0.006931,               0.006931
                     34,                 1.1964,                 1.2051,                 1.4515,                0.72363,                0.70953,                0.78111,                0.55076,                 1.1437,                 1.1406,                 1.4911,               0.006832,               0.006832,               0.006832
                     35,                 1.1644,                 1.1696,                 1.4183,                0.75656,                0.72041,                0.78772,                0.55611,                 1.1194,                 1.0299,                 1.4631,               0.006733,               0.006733,               0.006733
                     36,                 1.1577,                 1.1401,                 1.4013,                0.78928,                0.73709,                0.81712,                0.57988,                 1.1183,                0.94518,                 1.4528,               0.006634,               0.006634,               0.006634
                     37,                 1.1456,                 1.1139,                  1.396,                0.76965,                0.74623,                0.79753,                0.56512,                 1.1069,                 7.5239,                 1.4557,               0.006535,               0.006535,               0.006535
                     38,                 1.1456,                 1.0767,                 1.3889,                 0.7826,                0.72672,                0.81152,                0.57395,                 1.0939,                 1.0021,                 1.4472,               0.006436,               0.006436,               0.006436
                     39,                 1.1319,                 1.0563,                 1.3757,                0.78746,                0.72157,                0.81511,                0.58129,                 1.0787,                 0.9676,                 1.4404,               0.006337,               0.006337,               0.006337
                     40,                 1.1446,                  1.085,                 1.3853,                0.78536,                0.78358,                0.84988,                0.60941,                 1.0689,                0.90078,                 1.4278,               0.006238,               0.006238,               0.006238
                     41,                 1.1223,                  1.042,                  1.387,                0.82943,                0.74421,                 0.8441,                0.60249,                 1.0929,                0.92452,                 1.4392,               0.006139,               0.006139,               0.006139
                     42,                 1.1349,                 1.0464,                 1.3964,                0.80028,                0.78698,                0.85769,                0.61304,                 1.0836,                0.88246,                  1.442,                0.00604,                0.00604,                0.00604
                     43,                 1.1432,                 1.0385,                 1.4001,                0.84774,                0.78242,                0.87205,                0.62128,                 1.0922,                0.84342,                 1.4348,               0.005941,               0.005941,               0.005941
                     44,                 1.1031,                  1.003,                 1.3655,                0.82723,                 0.7584,                0.85346,                0.60973,                 1.0572,                0.90506,                 1.4075,               0.005842,               0.005842,               0.005842
                     45,                  1.101,                0.99945,                 1.3704,                0.85181,                0.77158,                0.86514,                0.62204,                 1.0817,                0.84983,                 1.4331,               0.005743,               0.005743,               0.005743
                     46,                 1.0971,                 0.9712,                 1.3576,                0.82741,                0.78351,                0.87148,                0.62844,                  1.051,                0.83385,                 1.4096,               0.005644,               0.005644,               0.005644
                     47,                 1.1067,                0.98679,                 1.3759,                0.87086,                 0.7956,                0.89336,                0.64933,                 1.0417,                 0.7901,                 1.4009,               0.005545,               0.005545,               0.005545
                     48,                 1.0963,                0.94341,                 1.3707,                0.86913,                0.80684,                0.89876,                0.64519,                 1.0518,                0.77858,                 1.4178,               0.005446,               0.005446,               0.005446
                     49,                 1.0726,                0.92775,                 1.3514,                0.87259,                 0.8145,                0.90245,                0.64838,                 1.0409,                0.77776,                   1.41,               0.005347,               0.005347,               0.005347
                     50,                 1.0968,                0.91798,                 1.3548,                0.83583,                0.80291,                0.88677,                0.63553,                   1.06,                0.83221,                 1.4179,               0.005248,               0.005248,               0.005248
                     51,                 1.0954,                0.94711,                 1.3608,                0.84384,                0.79721,                0.88166,                0.63783,                 1.0485,                0.81239,                 1.4132,               0.005149,               0.005149,               0.005149
                     52,                 1.0851,                0.94006,                 1.3619,                0.84703,                0.80055,                0.89018,                0.64613,                  1.039,                 0.7803,                 1.4043,                0.00505,                0.00505,                0.00505
                     53,                 1.0985,                0.91295,                 1.3623,                0.89397,                0.81618,                0.90652,                0.65602,                 1.0488,                0.73533,                 1.4181,               0.004951,               0.004951,               0.004951
                     54,                 1.0829,                0.89085,                 1.3395,                0.84823,                0.81096,                0.88987,                0.63515,                 1.0531,                0.79653,                 1.4128,               0.004852,               0.004852,               0.004852
                     55,                 1.0756,                0.90044,                 1.3428,                0.86187,                0.81908,                0.89756,                0.64874,                 1.0394,                0.76311,                 1.3985,               0.004753,               0.004753,               0.004753
                     56,                 1.0743,                0.89105,                 1.3466,                0.88596,                0.83258,                0.91156,                0.67006,                 1.0096,                0.72775,                 1.3763,               0.004654,               0.004654,               0.004654
                     57,                 1.0756,                0.87023,                 1.3372,                0.86618,                0.82525,                0.90528,                 0.6612,                 1.0182,                0.72908,                 1.3866,               0.004555,               0.004555,               0.004555
                     58,                 1.0636,                0.85893,                 1.3419,                0.89605,                0.84418,                0.92006,                 0.6681,                 1.0197,                0.70953,                 1.3873,               0.004456,               0.004456,               0.004456
                     59,                  1.092,                  0.883,                   1.37,                0.89651,                0.81862,                0.91321,                0.66687,                 1.0261,                0.71378,                 1.3968,               0.004357,               0.004357,               0.004357
                     60,                 1.0506,                0.83877,                  1.333,                0.88473,                0.83691,                0.90918,                0.66532,                  1.009,                0.72875,                 1.3816,               0.004258,               0.004258,               0.004258
                     61,                 1.0653,                0.83345,                 1.3329,                0.89221,                0.83002,                0.91734,                0.67563,                 1.0023,                 0.6984,                 1.3736,               0.004159,               0.004159,               0.004159
                     62,                 1.0589,                0.83338,                 1.3307,                0.88096,                0.86765,                0.92789,                0.67735,                 1.0129,                0.69006,                 1.3794,                0.00406,                0.00406,                0.00406
                     63,                 1.0616,                0.84014,                 1.3379,                0.89527,                0.83291,                0.91032,                0.66192,                 1.0233,                0.71532,                 1.3959,               0.003961,               0.003961,               0.003961
                     64,                 1.0635,                0.82403,                 1.3348,                0.87134,                0.86231,                0.92238,                0.67363,                 1.0058,                0.67533,                 1.3712,               0.003862,               0.003862,               0.003862
                     65,                 1.0373,                0.80144,                 1.3231,                0.88453,                0.86577,                0.92305,                0.67469,                 1.0176,                0.67443,                 1.3806,               0.003763,               0.003763,               0.003763
                     66,                  1.052,                0.82207,                 1.3253,                0.90593,                0.85232,                0.92902,                 0.6781,                 1.0083,                0.69043,                 1.3674,               0.003664,               0.003664,               0.003664
                     67,                 1.0394,                0.78472,                 1.3089,                0.89694,                0.85625,                0.92585,                0.68194,                0.99607,                0.66596,                 1.3576,               0.003565,               0.003565,               0.003565
                     68,                 1.0278,                0.78979,                 1.3257,                0.91228,                0.84937,                0.92773,                0.67894,                 1.0068,                 0.6698,                 1.3654,               0.003466,               0.003466,               0.003466
                     69,                 1.0548,                0.79145,                  1.314,                 0.9025,                0.85931,                0.92567,                0.67919,                 1.0056,                0.65766,                 1.3612,               0.003367,               0.003367,               0.003367
                     70,                 1.0351,                0.77593,                 1.3065,                0.90092,                0.85021,                0.92594,                 0.6754,                 1.0042,                0.66509,                  1.369,               0.003268,               0.003268,               0.003268
                     71,                 1.0303,                0.77819,                 1.3314,                0.89766,                0.87885,                0.93488,                0.68974,                0.99118,                0.63461,                 1.3552,               0.003169,               0.003169,               0.003169
                     72,                 1.0302,                0.78102,                 1.3131,                0.90015,                0.86754,                0.93365,                0.68571,                 0.9971,                0.64315,                 1.3674,                0.00307,                0.00307,                0.00307
                     73,                 1.0128,                0.76652,                 1.3121,                 0.9091,                0.86189,                0.93453,                0.68828,                0.98856,                0.63156,                 1.3573,               0.002971,               0.002971,               0.002971
                     74,                  1.014,                0.74666,                 1.2929,                0.90045,                0.87576,                0.93146,                0.68675,                0.97937,                 0.6367,                 1.3517,               0.002872,               0.002872,               0.002872
                     75,                 1.0115,                0.74819,                  1.302,                 0.9055,                0.87854,                 0.9359,                0.69244,                 0.9798,                0.61055,                  1.343,               0.002773,               0.002773,               0.002773
                     76,                 1.0194,                0.76241,                 1.3134,                0.91506,                0.86753,                0.93603,                0.68421,                0.98768,                0.64358,                 1.3556,               0.002674,               0.002674,               0.002674
                     77,                 1.0057,                0.74636,                 1.2943,                0.92457,                0.88223,                0.94104,                0.69821,                0.98537,                0.61111,                 1.3569,               0.002575,               0.002575,               0.002575
                     78,                0.99329,                0.73298,                 1.3043,                0.90721,                0.86743,                0.93905,                 0.6999,                0.97613,                0.62162,                  1.343,               0.002476,               0.002476,               0.002476
                     79,                 1.0039,                0.72727,                 1.2929,                0.92347,                0.88267,                0.94043,                0.69619,                0.97197,                0.59939,                 1.3418,               0.002377,               0.002377,               0.002377
                     80,                0.99716,                0.73036,                 1.2941,                0.89922,                0.89551,                 0.9373,                 0.6947,                0.96811,                0.60437,                 1.3413,               0.002278,               0.002278,               0.002278
                     81,                0.99543,                0.71484,                  1.288,                0.91943,                0.87905,                0.93843,                0.69613,                0.97931,                0.60674,                 1.3436,               0.002179,               0.002179,               0.002179
                     82,                 1.0022,                0.72198,                  1.293,                0.91242,                0.88229,                0.93805,                 0.6967,                0.96746,                0.59815,                 1.3378,                0.00208,                0.00208,                0.00208
                     83,                0.99005,                0.72294,                 1.2992,                0.91334,                0.89002,                0.94579,                0.70253,                0.96925,                0.58754,                 1.3389,               0.001981,               0.001981,               0.001981
                     84,                0.98975,                0.71708,                  1.296,                0.92482,                0.87918,                0.94333,                0.70097,                0.96201,                0.60456,                 1.3367,               0.001882,               0.001882,               0.001882
                     85,                0.98033,                0.69427,                 1.2724,                0.91742,                0.87796,                0.94158,                0.70283,                0.96635,                0.58721,                 1.3299,               0.001783,               0.001783,               0.001783
                     86,                0.97919,                0.68904,                 1.2751,                0.91377,                 0.8961,                0.94704,                0.70658,                0.97188,                0.57934,                 1.3377,               0.001684,               0.001684,               0.001684
                     87,                 0.9708,                0.67865,                 1.2593,                0.92755,                 0.8991,                0.94705,                0.70488,                 0.9587,                0.56973,                 1.3267,               0.001585,               0.001585,               0.001585
                     88,                0.97767,                0.68417,                 1.2666,                0.92881,                0.89074,                0.94417,                 0.7054,                0.96044,                0.57412,                 1.3226,               0.001486,               0.001486,               0.001486
                     89,                0.98055,                0.67405,                  1.266,                0.93196,                0.89898,                0.94864,                 0.7062,                0.96213,                0.56303,                 1.3295,               0.001387,               0.001387,               0.001387
                     90,                0.96944,                0.67459,                 1.2729,                0.92525,                0.90726,                 0.9519,                0.71346,                0.95277,                 0.5564,                 1.3203,               0.001288,               0.001288,               0.001288
                     91,                0.93426,                0.63621,                 1.2926,                0.92034,                0.88673,                0.94486,                0.70389,                0.95503,                0.58055,                 1.3223,               0.001189,               0.001189,               0.001189
                     92,                0.92786,                 0.6038,                  1.282,                0.92349,                0.89236,                0.94405,                0.70307,                0.95999,                0.56496,                 1.3242,                0.00109,                0.00109,                0.00109
                     93,                0.92309,                0.60471,                 1.2878,                0.93811,                0.88015,                0.94588,                0.70786,                0.95243,                 0.5647,                 1.3195,               0.000991,               0.000991,               0.000991
                     94,                0.90798,                0.57867,                 1.2834,                0.93254,                0.89318,                0.94824,                 0.7104,                0.94991,                0.55424,                  1.317,               0.000892,               0.000892,               0.000892
                     95,                0.91204,                0.57366,                 1.2718,                0.93451,                0.88489,                0.94714,                0.70875,                 0.9585,                 0.5577,                 1.3169,               0.000793,               0.000793,               0.000793
                     96,                0.90589,                0.57169,                 1.2761,                0.92588,                0.89712,                0.94938,                0.71001,                0.94888,                 0.5489,                 1.3168,               0.000694,               0.000694,               0.000694
                     97,                0.90938,                0.57158,                 1.2671,                0.94089,                0.89313,                0.95102,                0.71434,                0.94942,                0.54912,                 1.3157,               0.000595,               0.000595,               0.000595
                     98,                0.89655,                0.56268,                 1.2744,                0.93259,                0.89756,                0.95071,                0.71387,                0.94765,                0.53922,                 1.3113,               0.000496,               0.000496,               0.000496
                     99,                 0.9028,                0.56344,                  1.264,                0.93396,                0.90114,                0.95053,                0.71139,                0.95124,                0.54142,                 1.3107,               0.000397,               0.000397,               0.000397
                    100,                0.90256,                0.55489,                 1.2531,                0.93061,                0.90153,                0.95145,                0.71724,                0.94364,                0.53494,                 1.3068,               0.000298,               0.000298,               0.000298
