                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1748,                 1.1835,                 1.3258,                0.78484,                0.64095,                0.72659,                0.40435,                 1.6819,                0.90464,                 1.1668,               0.070015,              0.0033317,              0.0033317
                      1,                 1.7341,                0.92568,                 1.1502,                0.79021,                0.70801,                0.77246,                0.43451,                 1.5929,                 0.8308,                  1.129,               0.039949,              0.0065991,              0.0065991
                      2,                 1.6581,                0.87157,                 1.1243,                0.83388,                0.72225,                0.80315,                0.47749,                  1.517,                0.77102,                 1.1038,              0.0098166,              0.0098004,              0.0098004
                      3,                 1.6168,                0.83683,                  1.106,                0.84328,                0.74071,                 0.8218,                0.48339,                 1.4982,                0.75608,                 1.0874,               0.009703,               0.009703,               0.009703
                      4,                  1.586,                0.81304,                 1.0981,                0.85516,                0.74865,                0.82679,                0.49772,                 1.4657,                0.73008,                 1.0762,               0.009703,               0.009703,               0.009703
                      5,                 1.5637,                0.79475,                 1.0907,                0.85249,                0.75963,                  0.831,                0.49881,                 1.4552,                0.71767,                 1.0696,               0.009604,               0.009604,               0.009604
                      6,                 1.5544,                 0.7839,                 1.0842,                0.86099,                0.76108,                0.83865,                0.51334,                 1.4282,                0.70102,                 1.0608,               0.009505,               0.009505,               0.009505
                      7,                 1.5389,                0.77054,                 1.0803,                0.86417,                0.76618,                0.84436,                0.51849,                 1.4217,                0.68873,                 1.0567,               0.009406,               0.009406,               0.009406
                      8,                 1.5274,                0.76238,                 1.0743,                0.86513,                0.77038,                0.84941,                0.52075,                 1.4109,                0.69358,                 1.0491,               0.009307,               0.009307,               0.009307
                      9,                 1.5302,                0.76523,                 1.0775,                0.85864,                0.77409,                 0.8476,                0.51699,                 1.4179,                0.69498,                 1.0509,               0.009208,               0.009208,               0.009208
                     10,                  1.525,                0.75632,                 1.0753,                0.86621,                0.78107,                0.85274,                0.52575,                 1.4007,                0.68083,                 1.0434,               0.009109,               0.009109,               0.009109
                     11,                 1.5154,                0.75248,                  1.072,                0.87345,                0.78318,                0.85698,                0.52824,                 1.3965,                0.66626,                 1.0428,                0.00901,                0.00901,                0.00901
                     12,                 1.5108,                0.74436,                 1.0694,                0.86892,                 0.7874,                0.86048,                0.53219,                 1.3944,                0.66193,                 1.0421,               0.008911,               0.008911,               0.008911
                     13,                 1.5077,                0.74493,                 1.0707,                0.86993,                0.77513,                0.85432,                0.52808,                  1.396,                0.67505,                 1.0407,               0.008812,               0.008812,               0.008812
                     14,                 1.4931,                0.73516,                 1.0641,                0.87367,                0.78125,                0.85819,                0.53243,                 1.3828,                0.65272,                 1.0395,               0.008713,               0.008713,               0.008713
                     15,                 1.5021,                0.73818,                 1.0674,                0.87705,                 0.7865,                 0.8635,                0.53509,                 1.3843,                0.64927,                 1.0391,               0.008614,               0.008614,               0.008614
                     16,                 1.4895,                 0.7278,                 1.0605,                0.87418,                0.79294,                0.86463,                0.53647,                 1.3766,                0.65185,                 1.0318,               0.008515,               0.008515,               0.008515
