                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8387,                 3.9653,                 2.6662,                0.30806,                0.12463,                 0.0581,                0.02691,                 2.1091,                 8.8873,                 2.4781,               0.070147,               0.003317,               0.003317
                      2,                 1.8773,                 3.0421,                 1.9379,                0.36062,                0.21391,                0.10175,                 0.0606,                 1.7522,                  4.176,                 2.0504,               0.040081,              0.0065845,              0.0065845
                      3,                 1.7343,                 2.8053,                 1.8208,                0.38421,                 0.2493,                0.15382,                0.09131,                 1.6427,                 2.7443,                 1.8501,              0.0099494,               0.009786,               0.009786
                      4,                 1.6338,                 2.6724,                 1.7308,                0.30408,                0.31358,                0.13312,                0.08192,                 1.5912,                 2.8689,                 1.7911,               0.009703,               0.009703,               0.009703
                      5,                  1.538,                 2.4602,                 1.6508,                0.34566,                0.35244,                0.25107,                0.16151,                 1.4466,                  2.211,                 1.6762,               0.009703,               0.009703,               0.009703
                      6,                  1.507,                 2.2787,                 1.6179,                 0.3941,                0.38942,                0.28073,                0.17841,                 1.4378,                 3.0013,                 1.6712,               0.009604,               0.009604,               0.009604
                      7,                 1.4731,                 2.2174,                 1.5861,                0.22094,                0.43196,                  0.257,                0.15813,                 1.4709,                 2.5029,                 1.7053,               0.009505,               0.009505,               0.009505
                      8,                 1.4444,                 2.1502,                 1.5737,                0.28112,                0.39847,                0.27041,                0.17897,                 1.4319,                 2.2094,                 1.6559,               0.009406,               0.009406,               0.009406
                      9,                  1.428,                 2.0616,                 1.5653,                0.47613,                0.45803,                0.38853,                0.25656,                 1.3262,                 2.0035,                 1.6122,               0.009307,               0.009307,               0.009307
                     10,                 1.3908,                 1.9481,                 1.5412,                0.38877,                0.47154,                 0.3829,                0.25618,                  1.286,                 1.9112,                 1.5866,               0.009208,               0.009208,               0.009208
                     11,                  1.406,                 1.9098,                 1.5815,                0.40379,                0.44968,                0.38427,                0.26234,                 1.3086,                  1.999,                 1.5845,               0.009109,               0.009109,               0.009109
